Bölge (Düzey-2),Ýl Adý,Ýlçe Adý,Ýl-Ýlçe,ilce_no
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,ACIPAYAM,DENIZLI-ACIPAYAM,82
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,BABADAG,DENIZLI-BABADAG,200
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,BAKLAN,DENIZLI-BAKLAN,232
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,BEKILLI,DENIZLI-BEKILLI,295
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,BEYAGAC,DENIZLI-BEYAGAC,102
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,BOZKURT,DENIZLI-BOZKURT,185
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,BULDAN,DENIZLI-BULDAN,264
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,CAL,DENIZLI-CAL,235
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,CAMELI,DENIZLI-CAMELI,57
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,CARDAK,DENIZLI-CARDAK,184
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,CIVRIL,DENIZLI-CIVRIL,251
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,GUNEY,DENIZLI-GUNEY,280
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,HONAZ,DENIZLI-HONAZ,183
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,KALE,DENIZLI-KALE,129
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,MERKEZEFENDI,DENIZLI-MERKEZEFENDI,197
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,PAMUKKALE,DENIZLI-PAMUKKALE,186
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,SARAYKOY,DENIZLI-SARAYKOY,224
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,SERINHISAR,DENIZLI-SERINHISAR,182
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",DENIZLI,TAVAS,DENIZLI-TAVAS,126
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,BODRUM,MUGLA-BODRUM,93
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,DALAMAN,MUGLA-DALAMAN,54
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,DATCA,MUGLA-DATCA,48
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,FETHIYE,MUGLA-FETHIYE,55
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,KAVAKLIDERE,MUGLA-KAVAKLIDERE,156
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,KOYCEGIZ,MUGLA-KOYCEGIZ,62
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,MARMARIS,MUGLA-MARMARIS,47
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,MENTESE,MUGLA-MENTESE,103
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,MILAS,MUGLA-MILAS,94
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,ORTACA,MUGLA-ORTACA,63
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,SEYDIKEMER,MUGLA-SEYDIKEMER,60
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,ULA,MUGLA-ULA,80
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",MUGLA,YATAGAN,MUGLA-YATAGAN,135
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,AFYONKARAHISAR,AFYONKARAHISAR-AFYONKARAHISAR,377
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,BASMAKCI,AFYONKARAHISAR-BASMAKCI,211
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,BAYAT,AFYONKARAHISAR-BAYAT,409
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,BOLVADIN,AFYONKARAHISAR-BOLVADIN,385
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,CAY,AFYONKARAHISAR-CAY,357
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,COBANLAR,AFYONKARAHISAR-COBANLAR,386
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,DAZKIRI,AFYONKARAHISAR-DAZKIRI,228
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,DINAR,AFYONKARAHISAR-DINAR,246
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,EMIRDAG,AFYONKARAHISAR-EMIRDAG,405
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,EVCILER,AFYONKARAHISAR-EVCILER,249
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,HOCALAR,AFYONKARAHISAR-HOCALAR,341
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,IHSANIYE,AFYONKARAHISAR-IHSANIYE,436
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,ISCEHISAR,AFYONKARAHISAR-ISCEHISAR,410
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,KIZILOREN,AFYONKARAHISAR-KIZILOREN,300
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,SANDIKLI,AFYONKARAHISAR-SANDIKLI,313
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,SINANPASA,AFYONKARAHISAR-SINANPASA,382
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,SUHUT,AFYONKARAHISAR-SUHUT,307
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",AFYONKARAHISAR,SULTANDAGI,AFYONKARAHISAR-SULTANDAGI,353
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,ALTINTAS,KUTAHYA-ALTINTAS,426
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,ASLANAPA,KUTAHYA-ASLANAPA,457
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,CAVDARHISAR,KUTAHYA-CAVDARHISAR,459
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,DOMANIC,KUTAHYA-DOMANIC,553
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,DUMLUPINAR,KUTAHYA-DUMLUPINAR,424
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,EMET,KUTAHYA-EMET,470
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,GEDIZ,KUTAHYA-GEDIZ,413
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,HISARCIK,KUTAHYA-HISARCIK,468
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,KUTAHYA,KUTAHYA-KUTAHYA,475
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,PAZARLAR,KUTAHYA-PAZARLAR,417
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,SAPHANE,KUTAHYA-SAPHANE,414
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,SIMAV,KUTAHYA-SIMAV,421
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",KUTAHYA,TAVSANLI,KUTAHYA-TAVSANLI,493
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,AHMETLI,MANISA-AHMETLI,376
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,AKHISAR,MANISA-AKHISAR,404
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,ALASEHIR,MANISA-ALASEHIR,277
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,DEMIRCI,MANISA-DEMIRCI,399
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,GOLMARMARA,MANISA-GOLMARMARA,378
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,GORDES,MANISA-GORDES,403
"TR33-ZAFER-(AFYONKARAHISAR, KUTAHYA, MANISA, USAK)",MANISA,KIRKAGAC,MANISA-KIRKAGAC,474
